Estrellas,Opinion,Id,Titulo
3.0 de 5 estrellas,"

  El paquete lo dejaron escondido, jamas fue entregado a un vecino como en la descripción del repartidor lo describe, favor de tener mas cuidado si se hubiese perdido o encontrado por alguien mas, se perdiera el paquete o alguien mas lo encuentra, el repartidor de paquetera no se haría responsable con su argumento que lo entrego a un vecino.Saludos.

",Yomera,"Muchas vidas, muchos maestros"
2.0 de 5 estrellas,"

  El libro es MUY bueno, el escritor es lo máximo. PEROOO te lo venden como pasta dura y es mentira. Deben de cambiar la descripción del producto.

",AnitaChula,"Muchas vidas, muchos maestros"
5.0 de 5 estrellas,"

  Atrapó completamente mi interes por la claridad con la que se desarrolla, me ayudó a incrementar el (escaso) conocimiento que he adquirido recientemenete en el ambito espiritual. Lectura de fácil digestion para todos.

",AnitaChula,"Muchas vidas, muchos maestros"
5.0 de 5 estrellas,"

  Anteriormente leí otra edición. Es un libro que uno debe leer con la mente abierta, dispuesta a creer lo que quiera creer. Vale mucho la pena leerlo, es una lectura bastante interesante, toda una nueva perspectiva respecto a la vida en sí. Si te gusta este tipo de lecturas, crees en la energía, magia, chakras, alma, deberías agregar al menos este libro a tu repertorio de conocimiento.

",Miriam D.,"Muchas vidas, muchos maestros"
5.0 de 5 estrellas,"

  ... simplemente tienes que leerlo ...wow, desde éste momento estoy buscando ya alguien que sepa hacer regresiones porque necesito saber quién soy, qué hago, cuál es mi propósito... amé éste libro, de verdad lo amé con el corazón.

",Yomera,"Muchas vidas, muchos maestros"
5.0 de 5 estrellas,"

  El tema es muy interesante, te hace reflexionar sobre la vida y la muerte. Hay que abrir la mente para considerar un paradigma distinto al que nos enseña la religión católica sobre el porque estamos aquí. Tiene una redacción muy sencilla y ágil que permite que te metas en la historia y sientas empatía por los personajes, es fácil de entender aunque el mensaje es muy profundo. Se lee muy rápido y seguro que a algunas personas les cambiará la visión de la vida.

",Alam CG,"Muchas vidas, muchos maestros"
5.0 de 5 estrellas,"

  Excelente libro, habla sobre la reencarnación y los maestros, seres espirituales muy elevados que usan a una paciente para mandar mensajes de mucho interés para el psicólogo quien nos deleita con su increíble libro.

",Daniel,"Muchas vidas, muchos maestros"
5.0 de 5 estrellas,"

  Anécdotas de un psiquíatra desde un punto de vista científico y espiritual. La manera en cómo explica que el sentirnos tristes, confundidos, ansiosos tiene razón de ser, no siempre es algo malo, puedes darle una solución , hay que estar abiertos a diferentes respuestas y opciones. El recordatorio de no olvidarnos de hacer el bien, de existir y estar aquí por una razón a aveces más allá de nuestro entendimiento.

",Cliente de Amazon,"Muchas vidas, muchos maestros"
4.0 de 5 estrellas,"

  Excelente libro, le doy 4 estrellas por qué esta mal la descripción del artículo, no es pasta dura

",Araceli Castro,"Muchas vidas, muchos maestros"
5.0 de 5 estrellas,"

  Llego en perfectas condiciones el libro, tal y como se describía. Me gusto mucho la forma de narrar del escrito, me encanto lo aprendido y lo fácil que es de leer.

",Cliente de Amazon,"Muchas vidas, muchos maestros"
